City,Zip Code,County,Latitude,Longitude,,"Population estimates, July 1, 2019,  (V2019)","Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2019)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absecon,8201,Atlantic,39.457517,-74.50914,,NA,"8,442",NA,"8,502",NA,-0.70%,"8,411",6.20%,20.30%,22.30%,51.40%,79.30%,8.90%,0.00%,5.20%,0.20%,2.80%,9.30%,76.30%,589,9.80%,X,83.50%,"$198,300 ","$2,050 ",$905 ,"$1,356 ",X,"3,092",2.63,92.90%,13.80%,90.80%,85.80%,90.90%,28.60%,7.80%,6.10%,65.30%,59.50%,"29,974","36,762",X,D,"167,148","$19,929 ",23,"$73,560 ","$35,991 ",6.60%,X,X,X,X,X,725,354,266,142,541,63,586,"1,558.70",5.4,"""3400100"""
Allendale,7401,Bergen,41.031505,-74.13409,,NA,"6,792",NA,"6,505",NA,4.40%,"6,505",4.30%,28.90%,13.40%,55.60%,85.90%,1.20%,0.00%,10.60%,0.00%,2.30%,1.90%,83.90%,157,9.80%,X,85.40%,"$710,600 ","$3,636 ","$1,500+","$1,921 ",X,"2,254",2.96,93.20%,13.10%,93.90%,93.60%,97.70%,71.30%,3.60%,2.10%,65.30%,52.90%,"21,989","34,828","2,572","656,422","57,580","$8,650 ",35.9,"$158,977 ","$71,890 ",1.60%,X,X,X,X,X,659,339,261,85,543,F,607,"2,100.40",3.1,"""3400700"""
Asbury Park,7712,Monmouth,40.232713,-74.03143,,NA,"15,511",NA,"16,114",NA,-3.70%,"16,116",6.30%,22.20%,11.60%,51.80%,38.60%,44.20%,0.70%,0.80%,0.00%,3.10%,27.40%,27.50%,464,19.30%,X,21.00%,"$346,300 ","$2,284 ","$1,064 ","$1,231 ",X,"6,721",2.29,81.10%,28.10%,84.10%,73.60%,84.50%,26.70%,13.50%,17.70%,69.10%,61.00%,"60,833","37,450","9,074","39,377","76,651","$4,831 ",28.1,"$41,336 ","$32,368 ",28.60%,X,X,X,X,X,"1,068",617,358,333,697,90,940,"11,317.40",1.42,"""3401960"""
Atlantic City,8401,Atlantic,39.364966,-74.43903,,NA,"37,804",NA,"39,558",NA,-4.40%,"39,558",7.60%,24.70%,13.60%,49.10%,31.30%,35.50%,0.40%,16.90%,0.00%,4.00%,31.00%,15.40%,"1,205",33.00%,X,26.70%,"$165,200 ","$1,999 ",$953 ,$872 ,X,"15,272",2.46,80.80%,48.10%,74.30%,62.50%,73.50%,16.40%,11.80%,17.70%,59.80%,55.20%,"3,539,066","407,282",D,"95,779","641,008","$16,226 ",21.3,"$27,786 ","$19,924 ",37.70%,X,X,X,X,X,"2,520","1,362",791,"1,255","1,039",129,"2,177","3,680.80",10.75,"""3402080"""
Audubon,8106,Camden,39.892213,-75.07212,,NA,"8,659",NA,"8,819",NA,-1.80%,"8,819",3.90%,17.20%,16.40%,51.90%,94.50%,3.90%,0.00%,0.20%,0.00%,0.90%,1.60%,93.50%,387,2.40%,X,71.90%,"$206,700 ","$1,892 ",$991 ,$985 ,X,"3,489",2.48,89.40%,4.60%,91.40%,87.10%,96.60%,35.80%,8.60%,3.80%,73.20%,69.40%,"15,280",D,D,D,"110,401","$12,568 ",25.3,"$81,884 ","$39,111 ",4.70%,X,X,X,X,X,688,427,117,38,596,64,550,"5,926.70",1.49,"""3402200"""
Barnegat,8005,Ocean,39.759581,-74.27398,,NA,"23,167",NA,"20,933",NA,10.70%,"20,936",5.60%,21.40%,27.10%,51.70%,89.90%,7.40%,0.10%,0.20%,0.00%,0.40%,7.80%,85.10%,"1,749",6.70%,X,87.30%,"$247,600 ","$1,988 ",$853 ,"$1,570 ",X,"8,522",2.62,90.30%,10.50%,91.00%,87.10%,93.50%,24.00%,6.10%,7.20%,10.50%,48.80%,"9,269","25,333","2,663",D,"92,762","$4,331 ",35.8,"$72,665 ","$34,180 ",7.00%,X,X,X,X,X,"1,047",514,389,161,867,131,884,609,34.38,"""3402903050"""
Barrington,8007,Camden,39.868013,-75.05424,,NA,"6,683",NA,"6,961",NA,-4.00%,"6,983",8.90%,19.60%,15.10%,51.10%,92.80%,2.10%,0.40%,1.60%,0.00%,2.50%,3.80%,89.70%,381,6.10%,X,62.60%,"$202,900 ","$1,819 ",$986 ,$970 ,X,"2,775",2.43,89.40%,9.00%,87.20%,80.10%,92.20%,36.80%,6.90%,8.70%,70.90%,66.50%,"1,234","10,596",D,D,"21,099","$3,060 ",30.1,"$75,720 ","$38,145 ",7.80%,X,X,X,X,X,578,311,159,25,485,94,455,"4,345.40",1.61,"""3403250"""
Bayonne,7002,Hudson,40.666552,-74.11768,,NA,"65,083",NA,"63,015",NA,3.30%,"63,024",6.60%,23.50%,14.10%,50.20%,63.40%,11.50%,0.10%,9.90%,0.30%,3.70%,31.40%,46.60%,"2,047",30.40%,X,38.00%,"$320,300 ","$2,581 ","$1,215 ","$1,221 ",X,"24,975",2.6,90.20%,46.90%,87.90%,80.80%,87.90%,35.40%,6.50%,12.10%,63.80%,57.30%,"71,996","329,703","528,566","1,944,200","467,124","$7,252 ",35.3,"$59,924 ","$31,329 ",13.80%,X,X,X,X,X,"5,477","3,227","1,725","2,061","3,272",271,"4,981","10,858.70",5.8,"""3403580"""
Bellmawr,8031,Camden,39.867013,-75.09162,,NA,"11,374",NA,"11,604",NA,-2.00%,"11,583",5.30%,21.10%,18.50%,49.40%,78.10%,2.00%,0.30%,10.90%,0.00%,2.10%,12.00%,72.90%,702,18.20%,X,61.00%,"$166,800 ","$1,706 ",$816 ,$889 ,X,"4,379",2.6,88.80%,22.30%,86.00%,80.90%,84.80%,18.00%,9.70%,14.10%,64.70%,57.90%,"12,095",D,"129,518","103,590","48,244","$4,178 ",25.6,"$54,447 ","$27,122 ",18.50%,X,X,X,X,X,644,361,180,159,450,66,538,"3,888.20",2.98,"""3404750"""
Belmar,7715,Monmouth,40.302718,-74.24928,,NA,"5,587",NA,"5,786",NA,-3.40%,"5,794",3.00%,13.00%,17.70%,44.00%,91.30%,3.60%,0.00%,1.00%,0.00%,0.50%,15.00%,80.20%,381,11.90%,X,48.90%,"$600,800 ","$2,625 ","$1,123 ","$1,463 ",X,"2,560",2.2,89.30%,17.50%,90.50%,84.50%,92.60%,50.20%,5.60%,13.60%,68.20%,65.80%,"27,995",D,D,"6,545","96,914","$16,852 ",31.6,"$79,706 ","$48,666 ",11.80%,X,X,X,X,X,698,463,190,43,638,64,593,"5,544.50",1.05,"""3404930"""
Bergenfield,7621,Bergen,40.923748,-73.99879,,NA,"27,479",NA,"26,821",NA,2.50%,"26,764",5.50%,22.10%,14.90%,52.30%,52.90%,6.90%,0.40%,27.20%,0.00%,2.30%,28.70%,36.40%,685,39.30%,X,67.30%,"$348,400 ","$2,690 ","$1,141 ","$1,355 ",X,"8,760",3.12,94.90%,49.60%,93.00%,89.90%,90.40%,42.60%,4.00%,8.60%,69.50%,64.40%,"18,542","52,057",D,"122,137","178,761","$6,617 ",33.6,"$96,713 ","$37,069 ",5.50%,X,X,X,X,X,"2,400","1,452",717,"1,170","1,169",201,"2,148","9,306.00",2.88,"""3405170"""
Berlin,8009,Camden,39.779582,-74.9365,,NA,"7,554",NA,"7,598",NA,-0.60%,"7,588",4.50%,23.50%,18.60%,53.00%,87.30%,4.10%,0.00%,2.60%,0.00%,3.00%,5.50%,84.80%,446,2.60%,X,86.30%,"$237,700 ","$1,965 ",$891 ,"$1,183 ",X,"2,783",2.67,94.20%,5.50%,83.70%,77.50%,91.10%,37.50%,8.60%,8.30%,64.40%,59.70%,"20,561","151,541","16,919",D,"111,900","$14,712 ",31,"$93,261 ","$39,531 ",5.80%,X,X,X,X,X,603,394,141,39,506,44,527,"2,114.80",3.59,"""3405440"""
Bernardsville,7924,Somerset,40.72344,-74.57753,,NA,"7,686",NA,"7,726",NA,-0.50%,"7,707",6.80%,25.60%,12.60%,46.60%,87.60%,0.00%,1.00%,4.90%,0.00%,0.00%,12.70%,82.40%,251,18.10%,X,85.80%,"$743,600 ","$3,843 ","$1,500+","$1,848 ",X,"2,671",2.88,90.30%,18.30%,95.70%,93.70%,97.90%,73.40%,2.20%,7.10%,69.00%,60.60%,"23,669",D,D,"23,633","201,046","$25,925 ",33.3,"$159,909 ","$86,303 ",3.60%,X,X,X,X,X,"1,166",644,399,147,946,151,938,597.2,12.91,"""3405590"""
Bloomingdale,7403,Passaic,41.014497,-74.33021,,NA,"8,072",NA,"7,662",NA,5.40%,"7,656",6.70%,20.30%,16.10%,54.20%,89.20%,2.50%,0.70%,5.30%,0.00%,0.80%,15.60%,75.00%,414,12.00%,X,66.00%,"$297,000 ","$2,402 ","$1,178 ","$1,612 ",X,"2,916",2.74,89.60%,18.70%,90.80%,89.10%,93.80%,37.90%,6.20%,5.40%,68.40%,65.10%,"4,844",D,D,"23,285","32,858","$4,274 ",29,"$89,471 ","$39,820 ",8.80%,X,X,X,X,X,554,293,212,40,506,41,490,878.6,8.71,"""3406340"""
Bogota,7603,Bergen,40.873876,-74.02769,,NA,"8,413",NA,"8,178",NA,2.90%,"8,187",5.90%,19.00%,12.50%,52.80%,69.00%,11.10%,0.00%,8.10%,0.00%,3.50%,42.10%,37.80%,352,32.70%,X,70.10%,"$326,900 ","$2,688 ","$1,180 ","$1,359 ",X,"2,866",2.91,89.40%,47.50%,92.20%,86.50%,88.70%,29.20%,5.40%,10.90%,67.20%,62.00%,"3,926",D,"17,574","56,551",D,NA,30.7,"$83,517 ","$33,287 ",7.60%,X,X,X,X,X,702,409,238,349,334,76,608,"10,702.00",0.77,"""3406490"""
Boonton,7005,Morris,40.912798,-74.41516,,NA,"8,212",NA,"8,338",NA,-1.50%,"8,347",7.00%,21.80%,13.10%,49.40%,78.30%,5.30%,0.00%,10.20%,0.00%,3.30%,14.90%,67.00%,356,20.60%,X,62.40%,"$377,900 ","$2,692 ","$1,236 ","$1,354 ",X,"3,111",2.62,89.30%,26.40%,93.00%,91.20%,91.90%,47.10%,5.20%,6.80%,76.90%,72.90%,"15,560","16,430","68,866","121,986","163,862","$19,358 ",27.5,"$88,633 ","$42,318 ",5.30%,X,X,X,X,X,929,578,225,188,706,46,828,"3,574.70",2.34,"""3406610"""
Bordentown,8505,Burlington,40.132784,-74.71778,,NA,"11,946",NA,"11,380",NA,5.00%,"11,367",5.20%,21.60%,14.20%,52.10%,76.50%,8.90%,0.00%,10.10%,0.00%,2.60%,7.90%,71.80%,632,14.90%,X,77.00%,"$288,000 ","$2,319 ",$891 ,"$1,142 ",X,"4,465",2.6,89.40%,24.40%,94.00%,91.40%,95.90%,41.40%,8.80%,7.90%,24.40%,62.30%,"38,891","9,376",D,D,"192,706","$16,961 ",29.8,"$87,837 ","$41,194 ",6.40%,X,X,X,X,X,959,490,204,361,562,72,791,"1,334.90",8.52,"""3400506700"""
Bound Brook,8805,Somerset,40.567953,-74.54034,,NA,"10,289",NA,"10,421",NA,-1.30%,"10,402",7.50%,22.70%,9.50%,50.50%,83.60%,4.70%,0.70%,2.50%,0.00%,2.20%,54.40%,37.80%,318,31.50%,X,50.00%,"$276,500 ","$2,286 ",$958 ,"$1,384 ",X,"3,527",2.92,91.50%,53.20%,89.00%,82.60%,82.80%,18.50%,4.90%,20.50%,73.10%,64.90%,"16,464",D,"11,953",D,"100,367","$9,378 ",25.2,"$69,467 ","$32,399 ",6.40%,X,X,X,X,X,671,410,210,270,384,88,565,"6,270.00",1.66,"""3406790"""
Bridgeton,8302,Cumberland,39.445164,-75.24215,,NA,"24,442",NA,"25,414",NA,-3.80%,"25,349",8.70%,31.00%,6.90%,44.20%,51.20%,30.90%,1.00%,0.40%,0.00%,2.40%,51.00%,15.80%,471,22.10%,X,35.70%,"$103,100 ","$1,416 ",$672 ,"$1,063 ",X,"6,346",3.34,83.10%,47.30%,72.80%,60.90%,63.90%,5.40%,6.80%,24.80%,51.00%,56.80%,"17,435","89,415",D,"68,271","337,105","$13,330 ",26.1,"$35,023 ","$14,996 ",33.00%,X,X,X,X,X,968,496,365,467,445,79,836,"4,102.40",6.18,"""3407600"""
Brigantine,8203,Atlantic,39.401801,-74.38017,,NA,"8,765",NA,"9,450",NA,-7.20%,"9,450",2.90%,12.50%,28.40%,52.80%,91.60%,1.40%,0.10%,3.00%,0.10%,1.90%,7.40%,86.70%,723,8.80%,X,72.60%,"$351,300 ","$2,259 ",$957 ,"$1,263 ",X,"4,127",2.17,88.20%,13.50%,91.00%,82.50%,92.70%,34.70%,8.30%,9.20%,57.90%,55.10%,"15,563","11,133",X,D,"64,456","$6,842 ",29.8,"$71,483 ","$42,684 ",9.90%,X,X,X,X,X,941,522,349,85,835,31,894,"1,479.60",6.39,"""3407810"""
Buena,8310,Atlantic,39.522686,-74.89684,,NA,"7,299",NA,"7,560",NA,-3.50%,"7,570",6.50%,21.40%,17.50%,50.10%,79.90%,9.80%,2.50%,0.70%,0.20%,1.70%,15.40%,70.20%,386,5.40%,X,83.80%,"$187,500 ","$1,801 ",$718 ,"$1,320 ",X,"2,535",2.9,89.40%,11.80%,91.80%,82.90%,84.40%,16.10%,9.20%,13.00%,11.80%,64.30%,"5,803","2,761",X,D,"77,907","$10,282 ",30.9,"$63,376 ","$28,081 ",13.10%,X,X,X,X,X,534,247,224,33,484,88,409,184.4,41.05,"""3400108710"""
Burlington,8016,Burlington,40.06834,-74.84463,,NA,"22,524",NA,"22,569",NA,-0.20%,"22,594",5.20%,23.60%,13.70%,51.70%,54.40%,29.70%,0.10%,7.60%,0.00%,5.70%,10.90%,47.70%,"1,285",14.10%,X,78.90%,"$259,300 ","$2,259 ",$861 ,"$1,083 ",X,"7,965",2.76,90.40%,20.00%,92.20%,87.90%,92.50%,33.20%,7.40%,4.90%,20.00%,69.60%,"40,005","136,107","484,304","718,317","628,508","$27,664 ",31.9,"$88,135 ","$37,544 ",5.80%,X,X,X,X,X,"1,644",743,622,608,886,107,"1,404","1,684.20",13.42,"""3400508950"""
Butler,7405,Morris,40.99313,-74.35893,,NA,"7,650",NA,"7,650",NA,0.00%,"7,539",5.90%,18.50%,16.50%,49.40%,91.70%,0.60%,1.60%,4.10%,0.20%,0.80%,20.90%,73.50%,208,19.00%,X,64.60%,"$348,100 ","$2,566 ","$1,114 ","$1,312 ",X,"2,920",2.62,85.80%,25.80%,95.50%,91.20%,95.70%,36.70%,5.00%,9.00%,75.10%,69.20%,"17,258",D,"47,219",D,"235,270","$30,977 ",30.1,"$95,917 ","$41,567 ",3.80%,X,X,X,X,X,886,580,199,92,763,74,778,"3,702.80",2.04,"""3409040"""
Caldwell,7006,Essex,40.848999,-74.27917,,NA,"7,970",NA,"7,894",NA,1.00%,"7,822",4.90%,16.60%,16.60%,52.70%,88.00%,2.60%,0.10%,5.20%,0.00%,1.40%,11.40%,79.50%,234,13.80%,X,47.70%,"$456,000 ","$3,135 ","$1,275 ","$1,421 ",X,"3,288",2.26,87.40%,15.10%,94.90%,91.80%,94.60%,54.90%,3.00%,7.10%,70.70%,64.60%,"18,433","28,497",D,"5,932","52,862","$6,731 ",28.6,"$87,727 ","$47,853 ",7.90%,X,X,X,X,X,917,545,219,102,789,F,869,"6,708.40",1.17,"""3409250"""
Camden,8101,Camden,39.80237,-74.938259,,NA,"73,973",NA,"77,043",NA,-4.00%,"77,344",8.90%,30.90%,9.40%,52.10%,21.90%,42.40%,0.70%,2.60%,0.10%,3.90%,50.30%,5.90%,"1,651",15.20%,X,39.00%,"$82,700 ","$1,091 ",$469 ,$899 ,X,"24,727",2.91,86.10%,46.60%,76.20%,60.30%,67.10%,9.10%,14.20%,14.80%,56.60%,54.20%,"46,683","1,356,656","488,374","711,370","305,525","$3,955 ",24.3,"$27,070 ","$14,747 ",36.80%,X,X,X,X,X,"3,052","1,319","1,543","2,464",424,162,"2,694","8,669.90",8.92,"""3410000"""
Cape May,8204,Cape May,38.963652,-74.92319,,"92,039","92,560","97,257","97,261",-5.40%,-4.80%,"97,265",4.60%,17.50%,26.60%,51.10%,91.80%,4.90%,0.30%,1.00%,0.10%,1.90%,7.90%,85.20%,"6,783",4.80%,"99,436",77.60%,"$296,600 ","$1,884 ",$775 ,"$1,112 ",643,"39,904",2.28,88.40%,9.10%,89.00%,82.70%,91.20%,31.50%,9.20%,8.00%,56.90%,52.50%,"592,998","443,661","98,208",D,"1,639,427","$17,023 ",22.7,"$63,690 ","$38,496 ",10.30%,"3,850","26,890","1,106,046",-2.20%,"8,387","10,928","6,043","3,319",675,"9,985",881,"9,437",386.9,251.43,"""34009"""
Carlstadt,7072,Bergen,40.836555,-74.08466,,NA,"6,191",NA,"6,125",NA,1.10%,"6,127",5.50%,18.90%,17.40%,51.10%,86.70%,0.70%,0.00%,9.00%,0.00%,2.80%,24.10%,65.20%,237,31.90%,X,64.60%,"$375,000 ","$2,548 ",$898 ,"$1,260 ",X,"2,321",2.67,94.30%,43.20%,93.10%,84.50%,89.00%,37.60%,4.90%,13.70%,69.60%,67.90%,"36,961",D,"952,531","2,270,818","114,785","$18,165 ",27,"$100,792 ","$41,229 ",1.20%,X,X,X,X,X,"1,115",662,264,354,677,67,938,"1,532.10",4,"""3410480"""
Carteret,7008,Middlesex,40.582504,-74.22997,,NA,"23,652",NA,"22,853",NA,3.50%,"22,844",6.30%,23.40%,11.90%,52.80%,53.10%,16.60%,0.40%,21.00%,0.20%,3.20%,35.40%,27.50%,781,32.00%,X,57.30%,"$271,900 ","$2,188 ",$895 ,"$1,510 ",X,"7,950",2.98,88.00%,51.70%,84.80%,69.30%,86.50%,24.50%,7.20%,12.30%,65.60%,57.20%,"16,201",D,"423,353","2,403,831","153,905","$6,396 ",31,"$74,676 ","$28,457 ",14.50%,X,X,X,X,X,"2,053","1,455",537,"1,405",594,118,"1,880","5,170.70",4.42,"""3410750"""
Chester,7930,Morris,40.786549,-74.68799,,NA,"7,777",NA,"7,843",NA,-0.80%,"7,838",4.00%,25.00%,13.90%,49.40%,89.60%,1.50%,0.00%,5.00%,0.00%,3.30%,7.20%,82.40%,189,10.90%,X,95.00%,"$638,600 ","$3,652 ","$1,500+","$2,680 ",X,"2,709",2.86,94.80%,13.80%,95.50%,92.40%,98.60%,71.40%,4.60%,1.20%,13.80%,58.10%,"3,587",D,X,D,"50,310","$6,351 ",39.1,"$160,625 ","$75,517 ",1.60%,X,X,X,X,X,"1,097",522,278,112,929,116,928,266.8,29.38,"""3402712610"""
Clayton,8312,Gloucester,39.655964,-75.08736,,NA,"8,686",NA,"8,185",NA,6.10%,"8,179",3.90%,20.90%,15.60%,49.60%,75.20%,14.80%,0.40%,1.90%,0.00%,7.20%,3.10%,73.30%,698,2.50%,X,78.90%,"$197,400 ","$1,868 ",$738 ,"$1,186 ",X,"3,135",2.72,93.90%,5.50%,90.20%,88.60%,88.30%,29.30%,10.80%,8.40%,68.90%,57.90%,"4,107","4,858",X,"1,751","37,354","$4,569 ",35.2,"$66,766 ","$37,196 ",5.70%,X,X,X,X,X,302,125,108,97,186,F,255,"1,145.50",7.14,"""3413360"""
Cliffside Park,7010,Bergen,40.82154,-73.98949,,NA,"25,935",NA,"23,620",NA,9.80%,"23,594",4.90%,15.00%,21.70%,53.00%,67.20%,3.40%,0.10%,16.20%,0.00%,3.60%,31.80%,45.50%,524,47.70%,X,47.10%,"$443,300 ","$2,785 ","$1,365 ","$1,392 ",X,"10,535",2.36,88.10%,61.80%,87.90%,83.30%,89.50%,42.70%,4.40%,22.30%,64.10%,54.50%,"17,443","48,798","2,449","26,978","67,242","$2,817 ",37.1,"$66,952 ","$42,405 ",12.30%,X,X,X,X,X,"2,956","1,775",893,"1,316","1,623",175,"2,769","24,500.50",0.96,"""3413570"""
